Name,PreProduction Time,Production Time,PostProduction Time,
PA 470,01:00:00,,,1:00:00
PHYS 141,02:00:00,"01:56:58, 02:00:00, 00:00:08, 01:07:53, 00:22:46","01:00:00, 115:15:00, 00:51:28, 00:26:33, 00:48:08, 00:30:00, 00:59:50, 00:20:06, 00:26:38, 00:46:23, 00:18:23, 00:33:00, 00:29:55, 00:33:42, 01:03:13, 00:27:37, 00:34:32, 00:29:11, 00:36:22, 00:33:20, 00:30:00, 01:04:39, 00:50:00, 00:45:00, 00:35:00, 00:35:00, 01:00:00, 00:32:00, 00:25:00, 01:30:00, 00:50:10, 00:40:28, 00:56:00, 00:45:10, 00:35:00, 00:30:00, 00:52:53, 00:44:31, 00:30:00, 00:45:00, 00:35:00, 00:35:19, 00:15:34, 00:45:00, 00:18:00, 00:32:00, 00:37:16, 00:26:18",153:31:24
PHYS 141L ****,"02:00:00, 00:23:00, 02:00:00","02:00:00, 00:37:57, 00:23:45, 02:00:00, 00:28:55, 00:03:24","00:34:36, 00:32:00, 00:33:00, 00:34:36, 00:32:00, 00:21:00",13:04:13
ECOL 170C3,"01:43:12, 00:27:32, 00:15:27","00:45:00, 00:45:00, 00:30:00, 00:20:20, 00:56:41",,5:43:12
PHYS 143,02:10:00,01:45:00,,3:55:00
BIOC 385,,,"00:23:00, 00:43:00, 00:36:00, 00:27:00, 00:18:00, 00:19:00, 00:07:00, 00:19:00, 00:04:00, 00:23:00, 00:15:00, 00:14:00, 00:14:00, 00:05:00, 00:03:00, 00:02:00, 00:09:00, 00:07:00, 00:04:00, 00:06:00, 02:21:28, 01:25:27, 00:52:04, 00:21:20, 00:20:38, 00:15:12, 00:16:44, 00:09:18, 00:17:40, 00:19:54, 00:31:02, 00:13:53, 00:12:13, 00:12:23, 00:16:05, 00:15:18, 00:10:32, 00:11:27, 00:12:27, 00:10:00, 00:10:55, 00:07:46, 00:16:03, 00:24:08, 00:26:19, 00:09:50, 00:28:09, 00:24:05",16:30:20
BIOC 384,,,"00:24:00, 00:04:00, 00:20:00, 00:35:00, 00:24:00, 00:13:00, 00:35:00, 00:11:00, 00:18:00, 00:12:00, 00:14:00, 00:20:00, 00:24:00, 00:16:00, 00:20:00, 00:11:00, 00:29:00, 00:10:00, 00:21:00, 00:10:00, 00:18:00, 00:06:00, 00:29:00, 00:13:00, 00:19:00, 00:13:00, 00:14:00, 00:04:00, 00:02:00, 00:08:00, 00:06:00, 00:08:00, 00:04:00, 00:09:00, 00:11:00, 00:21:00, 00:06:00, 00:03:00, 00:10:00, 00:14:00, 00:05:00, 00:06:00, 00:09:00, 00:12:00, 00:06:00, 00:20:00, 00:06:00, 00:30:00, 00:05:00, 00:07:00, 00:28:00, 00:11:00, 00:22:00, 00:06:00, 00:08:00, 00:02:00, 00:14:00, 00:11:00, 00:05:00, 00:05:00, 00:23:35",13:50:35
CHEM 142,,"00:30:00, 00:30:00, 00:30:00, 00:30:00, 00:40:00, 00:40:00, 00:40:00, 00:40:00, 00:40:00, 00:40:00","00:14:00, 00:11:00, 00:04:00, 00:10:00, 00:09:00, 00:06:00, 00:05:00, 00:09:00, 00:07:00, 00:07:00, 00:06:00, 00:07:00, 00:06:00, 00:20:00, 00:08:00, 00:20:00, 00:06:00, 00:12:00, 00:11:00, 00:06:00, 00:07:00, 00:28:00, 00:25:00, 00:12:00, 00:16:00, 00:09:00, 00:10:00, 00:13:00, 00:17:51, 00:11:49, 00:19:25, 00:21:15, 00:17:08, 00:12:39, 00:21:32, 00:17:39, 00:12:57, 00:23:54",14:00:09
ECOL 206,,,"03:00:00, 03:00:00",6:00:00
PPEL INT 326,"00:50:00, 00:35:00, 00:11:19, 00:11:00, 00:00:07, 00:00:05, 00:29:08, 00:41:04, 00:50:00, 00:39:45, 00:42:29, 00:31:32","00:50:00, 01:10:00, 00:30:00, 00:30:00, 00:30:00, 00:30:00, 00:26:58, 00:09:04, 00:27:20, 00:13:47, 00:29:38, 00:14:54, 00:19:00, 00:40:09, 00:25:04, 00:12:52, 00:28:33, 00:34:41, 00:37:20, 00:15:49, 00:12:38, 00:28:31, 00:35:00, 01:00:00","01:00:00, 01:34:54, 00:45:00, 00:30:00, 00:38:00, 00:32:00, 01:05:19, 01:00:58, 00:27:15, 00:18:05, 01:22:50, 00:56:19, 00:22:08, 01:35:09, 02:20:00, 00:45:24, 00:51:23, 00:52:24, 00:34:48, 00:25:22, 00:24:05, 00:18:52, 01:08:00, 00:48:09, 00:44:20, 00:44:12, 00:36:59, 00:26:45",40:41:27
